id	customerName	customerInfoList	customerTagList	needList	portraitFrontResName	portraitBackResName
~id	~住户名	~信息列表	~住户标签列表	~需求列表（旧格式：levelId:needId[:GREATER/LESS/SELECTED/NOT_SELECTED:值]；送达条件格式：levelId:needId:CUSTOMER_DELIVERED_TO_FLOOR/CUSTOMER_NOT_DELIVERED_TO_FLOOR:住户id:楼层；从左到右先命中先生效）	~正面立绘资源名	~背面立绘资源名
				~GREATER=当前住户好感度大于值；LESS=当前住户好感度小于值；SELECTED=玩家历史上选中过该对话选项id；NOT_SELECTED=玩家历史上未选中过该对话选项id；CUSTOMER_DELIVERED_TO_FLOOR=指定住户历史上实际被送到过该楼层；CUSTOMER_NOT_DELIVERED_TO_FLOOR=指定住户历史上从未实际被送到过该楼层。		
1001	阿莉	白鼬外形，可带翅膀，身上有修理通风管留下的脏污，背着工具箱	WEASEL	1001:1001;1003:1009:GREATER:40;1003:1010:LESS:41;1004:1014:GREATER:80;1004:1015:LESS:81;1005:1019:GREATER:120;1005:1020:LESS:121	spr_portrait_1	spr_portrait_1
1002	考考	温柔，穿围裙，围裙上有口袋	APRON	1001:1002;1002:1021;1004:1016:GREATER:60;1004:1017:LESS:61	spr_portrait_2	spr_portrait_2
1003	那拉	外形狡黠，带雷霆镜框或外星人帽子等夸张装饰	TRICKSTER	1001:1003;1004:1018	spr_portrait_1	spr_portrait_1
1004	来福	有蓬松尾巴，笑容热情，背鼓棒包;团结者与开心果	*	1002:1004	*	*
1005	柏南	树形外貌，带女巫帽等女巫象征;浑水摸鱼的搅局者	*	1001:1005	*	*
1006	小维	外层有贝壳，机械轮式底座贴着展览标签;沉默的实干者	*	1001:1006	*	*
1007	一咔	外形萌，戴快递员防滑手套	*	1003:1007	*	*
1008	小露	有兔耳等兔子特征，神情忧郁，身上沾有颜料	*	1003:1008	*	*
